id,keyword,volume,difficulty,priority,archetype,board,template,source_article,link,evidence_tier,reuse_class,status
pin-0001,infrared vs steam sauna,1300,2,650.0,comparison,Infrared vs Traditional,when-x-then-y-slideshow,https://inhousewellness.com/blogs/saunas/infrared-vs-traditional-sauna,https://inhousewellness.com/tools/sauna-match,strong,evergreen,queued
pin-0002,how long should you stay in a sauna,4400,10,440.0,reality_check,Sauna Use & Etiquette,tutorial-carousel-minimalist-flat,https://inhousewellness.com/blogs/saunas/sauna-electrical-requirements,https://inhousewellness.com/tools/panel-check,strong,evergreen,queued
pin-0003,is sauna good for a cold,1300,3,433.3,evidence_read,Sauna Health & Evidence,book-page-infographic,https://inhousewellness.com/blogs/saunas/sauna-for-blood-pressure-and-heart-health,https://inhousewellness.com/blogs/saunas,moderate,evergreen,queued
pin-0004,can i bring my phone in a sauna,720,2,360.0,reality_check,Sauna Use & Etiquette,tutorial-carousel-minimalist-flat,https://inhousewellness.com/blogs/saunas/sauna-electrical-requirements,https://inhousewellness.com/tools/panel-check,strong,evergreen,queued
pin-0005,can you take your phone in a sauna,1000,3,333.3,reality_check,Sauna Use & Etiquette,tutorial-carousel-minimalist-flat,https://inhousewellness.com/blogs/saunas/sauna-electrical-requirements,https://inhousewellness.com/tools/panel-check,strong,evergreen,queued
pin-0006,what to wear in a sauna,1900,6,316.7,reality_check,Sauna Use & Etiquette,tutorial-carousel-minimalist-flat,https://inhousewellness.com/blogs/saunas/sauna-electrical-requirements,https://inhousewellness.com/tools/panel-check,strong,evergreen,queued
pin-0007,can you bring your phone into a sauna,590,2,295.0,reality_check,Sauna Use & Etiquette,tutorial-carousel-minimalist-flat,https://inhousewellness.com/blogs/saunas/sauna-electrical-requirements,https://inhousewellness.com/tools/panel-check,strong,evergreen,queued
pin-0008,is it safe to take wallet into sauna,590,2,295.0,reality_check,Sauna Use & Etiquette,tutorial-carousel-minimalist-flat,https://inhousewellness.com/blogs/saunas/sauna-electrical-requirements,https://inhousewellness.com/tools/panel-check,strong,evergreen,queued
pin-0009,dry sauna vs wet sauna,1300,5,260.0,comparison,Infrared vs Traditional,when-x-then-y-slideshow,https://inhousewellness.com/blogs/saunas/infrared-vs-traditional-sauna,https://inhousewellness.com/tools/sauna-match,strong,evergreen,queued
pin-0010,can you run electrical in sauna walls,480,2,240.0,reality_check,Sauna Installation & Electrical,tutorial-carousel-minimalist-flat,https://inhousewellness.com/blogs/saunas/sauna-electrical-requirements,https://inhousewellness.com/tools/panel-check,strong,evergreen,queued
